media_id,selected_rank,expected_sha256,source_observed_sha256,artifact_filename,artifact_sha256,size_bytes,shape,dtype
IMG_007429,2,fe1a49bd28875284d0a69fde6d192251ba0cbc34195b8667a3ab7890f0b647d8,fe1a49bd28875284d0a69fde6d192251ba0cbc34195b8667a3ab7890f0b647d8,IMG_007429__r02.npy,fe1a49bd28875284d0a69fde6d192251ba0cbc34195b8667a3ab7890f0b647d8,147584,4x96x96,float32
IMG_007433,1,5d58ebbffaf07d84234424fcc2f941f661f7626ad3228b4e128a03eed429376c,5d58ebbffaf07d84234424fcc2f941f661f7626ad3228b4e128a03eed429376c,IMG_007433__r01.npy,5d58ebbffaf07d84234424fcc2f941f661f7626ad3228b4e128a03eed429376c,147584,4x96x96,float32
IMG_007434,1,0a2a910b7b0a363a7327022594149106268450d79cffff9b947bfb391fcbe74e,0a2a910b7b0a363a7327022594149106268450d79cffff9b947bfb391fcbe74e,IMG_007434__r01.npy,0a2a910b7b0a363a7327022594149106268450d79cffff9b947bfb391fcbe74e,147584,4x96x96,float32
IMG_007437,1,80fc13e4a2dd30dbd54202bb9e8919737dbe054c28dbc144abfd3a42a2b7b3aa,80fc13e4a2dd30dbd54202bb9e8919737dbe054c28dbc144abfd3a42a2b7b3aa,IMG_007437__r01.npy,80fc13e4a2dd30dbd54202bb9e8919737dbe054c28dbc144abfd3a42a2b7b3aa,147584,4x96x96,float32
IMG_007439,1,ad13130ee3a16227530b69057b3cf23608e472ae14786067c93abfc2d2667042,ad13130ee3a16227530b69057b3cf23608e472ae14786067c93abfc2d2667042,IMG_007439__r01.npy,ad13130ee3a16227530b69057b3cf23608e472ae14786067c93abfc2d2667042,147584,4x96x96,float32
IMG_007440,1,8da6ea89f484e0153916893ab9720b8748749621dad166e1c11ac5e72f17d748,8da6ea89f484e0153916893ab9720b8748749621dad166e1c11ac5e72f17d748,IMG_007440__r01.npy,8da6ea89f484e0153916893ab9720b8748749621dad166e1c11ac5e72f17d748,147584,4x96x96,float32
IMG_007441,1,5986600f3d3d6e318a95351fcab02e46df37f523605ac9d42b2519106769cb7c,5986600f3d3d6e318a95351fcab02e46df37f523605ac9d42b2519106769cb7c,IMG_007441__r01.npy,5986600f3d3d6e318a95351fcab02e46df37f523605ac9d42b2519106769cb7c,147584,4x96x96,float32
IMG_007442,1,f97e3725806eb71ec2aef66e7a0626f7b2a52352ebc88ad354d29f303ce66b3f,f97e3725806eb71ec2aef66e7a0626f7b2a52352ebc88ad354d29f303ce66b3f,IMG_007442__r01.npy,f97e3725806eb71ec2aef66e7a0626f7b2a52352ebc88ad354d29f303ce66b3f,147584,4x96x96,float32
IMG_007444,1,6e68a3b506e958147b28b6a8d311d875874bed27e9b018ab13111a47be045c22,6e68a3b506e958147b28b6a8d311d875874bed27e9b018ab13111a47be045c22,IMG_007444__r01.npy,6e68a3b506e958147b28b6a8d311d875874bed27e9b018ab13111a47be045c22,147584,4x96x96,float32
IMG_007445,1,0983f02f1f1e81784288e16d1194957cb93a18182327802b4eae7e036e085d87,0983f02f1f1e81784288e16d1194957cb93a18182327802b4eae7e036e085d87,IMG_007445__r01.npy,0983f02f1f1e81784288e16d1194957cb93a18182327802b4eae7e036e085d87,147584,4x96x96,float32
IMG_007445,2,bed3eb8917aa4f4954ab922851861039114f5301747cfd23ddca59582b848e7f,bed3eb8917aa4f4954ab922851861039114f5301747cfd23ddca59582b848e7f,IMG_007445__r02.npy,bed3eb8917aa4f4954ab922851861039114f5301747cfd23ddca59582b848e7f,147584,4x96x96,float32
IMG_007449,1,b332ecef9f17e3d4d14ba3f3da21af75cb82ccce6dbf2bba7b17e7267200b891,b332ecef9f17e3d4d14ba3f3da21af75cb82ccce6dbf2bba7b17e7267200b891,IMG_007449__r01.npy,b332ecef9f17e3d4d14ba3f3da21af75cb82ccce6dbf2bba7b17e7267200b891,147584,4x96x96,float32
IMG_007450,1,4e92a2ecebc15a8221e4610722cc1bceee9b9a2b412ac5514e3036e9bdb3fd4a,4e92a2ecebc15a8221e4610722cc1bceee9b9a2b412ac5514e3036e9bdb3fd4a,IMG_007450__r01.npy,4e92a2ecebc15a8221e4610722cc1bceee9b9a2b412ac5514e3036e9bdb3fd4a,147584,4x96x96,float32
IMG_007454,1,117689e6d41557c8a0ea48d15003bf228ea078a6a682a907986158d317b04520,117689e6d41557c8a0ea48d15003bf228ea078a6a682a907986158d317b04520,IMG_007454__r01.npy,117689e6d41557c8a0ea48d15003bf228ea078a6a682a907986158d317b04520,147584,4x96x96,float32
IMG_007455,1,572578acf1299ce0152d4ceebba6b7fa7630932f5d25b496279ec1246f63a431,572578acf1299ce0152d4ceebba6b7fa7630932f5d25b496279ec1246f63a431,IMG_007455__r01.npy,572578acf1299ce0152d4ceebba6b7fa7630932f5d25b496279ec1246f63a431,147584,4x96x96,float32
IMG_007457,1,8e21ba4cbdbad7d79be23c4f3313d1e7da22bec91f3cc246e9095d22afd01f2f,8e21ba4cbdbad7d79be23c4f3313d1e7da22bec91f3cc246e9095d22afd01f2f,IMG_007457__r01.npy,8e21ba4cbdbad7d79be23c4f3313d1e7da22bec91f3cc246e9095d22afd01f2f,147584,4x96x96,float32
IMG_007457,2,8e21ba4cbdbad7d79be23c4f3313d1e7da22bec91f3cc246e9095d22afd01f2f,8e21ba4cbdbad7d79be23c4f3313d1e7da22bec91f3cc246e9095d22afd01f2f,IMG_007457__r02.npy,8e21ba4cbdbad7d79be23c4f3313d1e7da22bec91f3cc246e9095d22afd01f2f,147584,4x96x96,float32
IMG_007460,1,7228990a4f7e4a48eae881cf931abb6ee1b2dfb8bef07bc879d2c9b55856be9e,7228990a4f7e4a48eae881cf931abb6ee1b2dfb8bef07bc879d2c9b55856be9e,IMG_007460__r01.npy,7228990a4f7e4a48eae881cf931abb6ee1b2dfb8bef07bc879d2c9b55856be9e,147584,4x96x96,float32
IMG_007463,1,1219ccccc29f608a5f863a7bad396ab5b6dcf5aafdf4a24d472c83f682f79566,1219ccccc29f608a5f863a7bad396ab5b6dcf5aafdf4a24d472c83f682f79566,IMG_007463__r01.npy,1219ccccc29f608a5f863a7bad396ab5b6dcf5aafdf4a24d472c83f682f79566,147584,4x96x96,float32
IMG_007463,2,31963d6f9c7cd8f316740b19fbd05c397aa98a695cdc85c84d949c5cd6d81447,31963d6f9c7cd8f316740b19fbd05c397aa98a695cdc85c84d949c5cd6d81447,IMG_007463__r02.npy,31963d6f9c7cd8f316740b19fbd05c397aa98a695cdc85c84d949c5cd6d81447,147584,4x96x96,float32
IMG_007465,1,4774ca877f431f65fa7a7fb8617f9a17f3ed1e32f19680ae4edce87659a6d769,4774ca877f431f65fa7a7fb8617f9a17f3ed1e32f19680ae4edce87659a6d769,IMG_007465__r01.npy,4774ca877f431f65fa7a7fb8617f9a17f3ed1e32f19680ae4edce87659a6d769,147584,4x96x96,float32
IMG_007466,1,48eeeaa37e1e201431949d372a6f8056c41eef9a0090d8aa7c640226f82dc303,48eeeaa37e1e201431949d372a6f8056c41eef9a0090d8aa7c640226f82dc303,IMG_007466__r01.npy,48eeeaa37e1e201431949d372a6f8056c41eef9a0090d8aa7c640226f82dc303,147584,4x96x96,float32
IMG_007467,1,f836412446c8e58a507109ef916c6ef61dcc9feccf6f4476bbcd4a5905b230e2,f836412446c8e58a507109ef916c6ef61dcc9feccf6f4476bbcd4a5905b230e2,IMG_007467__r01.npy,f836412446c8e58a507109ef916c6ef61dcc9feccf6f4476bbcd4a5905b230e2,147584,4x96x96,float32
IMG_007467,2,bc13f2943391398e9d0c5cf6ea01a2621c3ef9ea788c582bc80f83fa318302de,bc13f2943391398e9d0c5cf6ea01a2621c3ef9ea788c582bc80f83fa318302de,IMG_007467__r02.npy,bc13f2943391398e9d0c5cf6ea01a2621c3ef9ea788c582bc80f83fa318302de,147584,4x96x96,float32
IMG_007468,1,fe05ea68e0bcca8e9f0008aab5e6c38656192d136a925f28bb9b38c3a43775dd,fe05ea68e0bcca8e9f0008aab5e6c38656192d136a925f28bb9b38c3a43775dd,IMG_007468__r01.npy,fe05ea68e0bcca8e9f0008aab5e6c38656192d136a925f28bb9b38c3a43775dd,147584,4x96x96,float32
